date,Y_h,pred_HAR,pred_HAR-DOW,pred_HAR-X,split
2014-02-04,-1.7557458751536468,-1.7237263302172854,-1.6955503478705996,-1.5547660927629492,train
2014-02-05,-1.7459239229315084,-1.7329159946156514,-1.7231542912297717,-1.5781303325176206,train
2014-02-06,-1.729203327756284,-1.7753509321627428,-1.7934072693672187,-1.6167170957202126,train
2014-02-07,-1.933637674562439,-1.5776271020956256,-1.58266656837276,-1.5496896863749507,train
2014-02-10,-2.09109666413817,-1.6570116703625755,-1.667706346938669,-1.7259114931140305,train
2014-02-11,-2.053312934809319,-1.9179231403215182,-1.8854224810064755,-2.0119912676754677,train
2014-02-12,-2.128946737439421,-1.8156360051429958,-1.803068035836113,-1.8821820710803556,train
2014-02-13,-2.2932223756696293,-1.791991104598094,-1.8075491981443275,-1.8715361672197037,train
2014-02-14,-2.455413111729928,-1.8131977031214415,-1.8303849086332762,-1.8568607384603142,train
2014-02-17,-2.456771656597626,-1.9876475191001008,-2.0071758563919,-2.0036823421392636,train
2014-02-18,-2.4653265986738004,-1.9746054183177957,-1.9398602734543793,-1.9332367093621272,train
2014-02-19,-2.4828039842470795,-1.9958242126610413,-1.9811496002244982,-1.9937417712050927,train
2014-02-20,-2.4060646241922883,-2.1385871124771945,-2.1656829515465232,-2.127361432664828,train
2014-02-21,-2.372215385532882,-2.111135930231595,-2.134885308942987,-2.1204489021950055,train
2014-02-24,-1.9285936461831237,-2.140348173152676,-2.154959962495652,-2.1342593272968156,train
2014-02-25,-1.8346453861947074,-2.169195405303644,-2.1280428397681908,-2.147401654835028,train
2014-02-26,-1.7834062756820848,-2.1809885948712107,-2.161793280375473,-2.1677409846888116,train
2014-02-27,-1.7285358929503138,-2.1382211257245545,-2.155427973473083,-2.0899520666508304,train
2014-02-28,-1.663669621255602,-2.0918637303969896,-2.113908584206092,-1.9294931731992342,train
2014-03-03,-1.9280613895293155,-1.8219684143775607,-1.8148521919889258,-1.5977238986496072,train
2014-03-04,-2.0534757158524264,-1.8835360017794767,-1.8527014464313365,-1.6548929652594484,train
2014-03-05,-2.149417361326696,-1.879156299034247,-1.8677268320705525,-1.643300244840302,train
2014-03-06,-2.2552027839866313,-1.833623801279228,-1.8522493883859201,-1.628623147938164,train
2014-03-07,-2.10440556186688,-1.7623905193802187,-1.785012912499776,-1.6975782365153216,train
2014-03-10,-2.0880060192747676,-1.8958241618769307,-1.9122161406153522,-1.9398475530383001,train
