,lasso_coef,selected,block,postlasso_coef,postlasso_se,postlasso_t,postlasso_p,postlasso_ci_lo,postlasso_ci_hi
ev_evt_USD_Consumer_Confidence,0.0,False,news,,,,,,
ev_evt_EUR_Eurogroup_Meeting,0.0,False,news,,,,,,
ev_evt_EUR_9_Month_Letras_Auction,0.0,False,news,,,,,,
ev_evt_USD_JOLTS_Job_Openings,0.0,False,news,,,,,,
ev_evt_USD_Labor_Force_Participation_Rate,0.0,False,news,,,,,,
ev_evt_EUR_ECB_s_Lane_speech,-0.0,False,news,,,,,,
ev_evt_EUR_Core_Harmonized_Index_of_Consumer_Prices_MoM,0.0,False,news,,,,,,
ev_evt_EUR_German_Buba_Monthly_Report,0.0,False,news,,,,,,
ev_evt_USD_Retail_Sales_Control_Group,0.0,False,news,,,,,,
ev_evt_EUR_ECB_Main_Refinancing_Operations_Rate,0.0,False,news,,,,,,
ev_evt_EUR_Non_Monetary_Policy_ECB_Meeting,0.0,False,news,,,,,,
ev_evt_USD_Michigan_Consumer_Expectations_Index,0.0,False,news,,,,,,
ev_evt_USD_Building_Permits_Change,-0.0,False,news,,,,,,
ev_evt_USD_Fed_s_Beige_Book,0.0,False,news,,,,,,
ev_evt_EUR_Nonfarm_Payrolls_QoQ,0.0,False,news,,,,,,
ev_evt_USD_Unit_Labor_Costs,0.0,False,news,,,,,,
ev_evt_EUR_Gross_Domestic_Product_w_d_a_YoY,0.0,False,news,,,,,,
ev_evt_USD_Fed_s_Brainard_speech,-0.0,False,news,,,,,,
ev_evt_USD_U6_Underemployment_Rate,-0.0,False,news,,,,,,
ev_evt_EUR_ECB_s_Schnabel_speech,-0.0,False,news,,,,,,
ev_evt_EUR_ECB_Rate_On_Deposit_Facility,0.0,False,news,,,,,,
ev_evt_USD_ISM_Manufacturing_Employment_Index,-0.0,False,news,,,,,,
ev_evt_USD_Nondefense_Capital_Goods_Orders_ex_Aircraft,-0.0,False,news,,,,,,
ev_evt_EUR_Economic_Bulletin,0.0,False,news,,,,,,
ev_evt_EUR_ECB_Monetary_Policy_Meeting_Accounts,-0.0,False,news,,,,,,
ev_evt_USD_Fed_Monetary_Policy_Statement,0.0,False,news,,,,,,
ev_evt_EUR_ECB_s_Panetta_speech,0.0,False,news,,,,,,
ev_evt_EUR_Employment_Change_QoQ,0.0,False,news,,,,,,
ev_evt_USD_OPEC_Meeting,0.0,False,news,,,,,,
ev_evt_USD_Fed_s_Harker_speech,-0.0,False,news,,,,,,
ev_evt_USD_Fed_s_George_speech,-0.0,False,news,,,,,,
ev_evt_USD_USDA_WASDE_Report,-0.0,False,news,,,,,,
ev_evt_USD_FOMC_Press_Conference,0.0,False,news,,,,,,
ev_evt_USD_Current_Account,0.0,False,news,,,,,,
ev_evt_EUR_Public_Deficit_GDP,-0.0,False,news,,,,,,
ev_evt_EUR_ILO_Unemployment,0.0,False,news,,,,,,
ev_evt_EUR_Unemployment_Survey,-0.0,False,news,,,,,,
ev_evt_EUR_Gross_Domestic_Product_Estimated_QoQ,-0.0,False,news,,,,,,
ev_evt_USD_FOMC_Economic_Projections,0.0,False,news,,,,,,
ev_evt_USD_Loan_Officer_Survey,-0.0,False,news,,,,,,
ev_evt_EUR_European_Commission_releases_Economic_Growth_Forecasts,0.0,False,news,,,,,,
