horizon,merged_column,representative
5,ev_evt_USD_Personal_Spending,ev_evt_USD_Core_Personal_Consumption_Expenditures_Price_Index_MoM
5,ev_evt_USD_Durable_Goods_Orders_ex_Transportation,ev_evt_USD_Durable_Goods_Orders
5,ev_evt_USD_Gross_Domestic_Product_Price_Index,ev_evt_USD_Gross_Domestic_Product_Annualized
5,ev_evt_USD_Core_Personal_Consumption_Expenditures_QoQ,ev_evt_USD_Gross_Domestic_Product_Annualized
5,ev_evt_USD_Personal_Consumption_Expenditures_Prices_QoQ,ev_evt_USD_Gross_Domestic_Product_Annualized
5,ev_evt_USD_New_Home_Sales_MoM,ev_evt_USD_New_Home_Sales_Change_MoM
5,ev_evt_USD_Pending_Home_Sales_YoY,ev_evt_USD_Pending_Home_Sales_MoM
5,ev_evt_EUR_Trade_Balance_EU,ev_evt_EUR_Global_Trade_Balance
5,ev_evt_EUR_M3_Money_Supply_YoY,ev_evt_EUR_M3_Money_Supply_3m
5,ev_evt_EUR_Private_Loans_YoY,ev_evt_EUR_M3_Money_Supply_3m
5,ev_evt_USD_Housing_Starts_MoM,ev_evt_USD_Building_Permits_MoM
5,ev_evt_EUR_Wholesale_Price_Index_YoY,ev_evt_EUR_Wholesale_Price_Index_MoM
5,ev_evt_EUR_6_Month_Letras_Auction,ev_evt_EUR_12_Month_Letras_Auction
5,ev_evt_EUR_Industrial_Confidence,ev_evt_EUR_Economic_Sentiment_Indicator
5,ev_evt_EUR_Services_Sentiment,ev_evt_EUR_Economic_Sentiment_Indicator
5,ev_evt_EUR_Business_Climate,ev_evt_EUR_Economic_Sentiment_Indicator
5,ev_evt_EUR_Imports_MoM,ev_evt_EUR_Exports_MoM
5,ev_evt_EUR_9_Month_Letras_Auction,ev_evt_EUR_3_Month_Letras_Auction
5,ev_evt_EUR_Industrial_Sales_s_a_MoM,ev_evt_EUR_Industrial_Sales_n_s_a_YoY
5,ev_evt_EUR_Gross_Domestic_Product_s_a_YoY,ev_evt_EUR_Gross_Domestic_Product_s_a_QoQ
5,ev_evt_EUR_ECB_Press_Conference,ev_evt_EUR_ECB_Main_Refinancing_Operations_Rate
5,ev_evt_USD_UoM_1_year_Consumer_Inflation_Expectations,ev_evt_USD_Michigan_Consumer_Expectations_Index
5,ev_evt_USD_UoM_5_year_Consumer_Inflation_Expectation,ev_evt_USD_Michigan_Consumer_Expectations_Index
5,ev_evt_USD_Housing_Starts_Change,ev_evt_USD_Building_Permits_Change
5,ev_evt_USD_Nonfarm_Productivity,ev_evt_USD_Unit_Labor_Costs
5,ev_evt_USD_ISM_Manufacturing_New_Orders_Index,ev_evt_USD_ISM_Manufacturing_Employment_Index
5,ev_evt_USD_ISM_Services_New_Orders_Index,ev_evt_USD_ISM_Services_Employment_Index
5,ev_evt_USD_ISM_Services_Prices_Paid,ev_evt_USD_ISM_Services_Employment_Index
5,ev_evt_USD_Durable_Goods_Orders_ex_Defense,ev_evt_USD_Nondefense_Capital_Goods_Orders_ex_Aircraft
5,ev_evt_EUR_Employment_Change_YoY,ev_evt_EUR_Employment_Change_QoQ
5,ev_evt_EUR_Gross_Domestic_Product_Estimated_YoY,ev_evt_EUR_Gross_Domestic_Product_Estimated_QoQ
5,ev_evt_USD_Employment_Cost_Index,ev_evt_EUR_Gross_Domestic_Product_Estimated_QoQ
22,ev_n_events_usd,ev_n_events
22,ev_n_events_eur,ev_n_events
22,ev_evt_USD_Continuing_Jobless_Claims,ev_evt_USD_Initial_Jobless_Claims
22,ev_evt_USD_EIA_Natural_Gas_Storage_Change,ev_evt_USD_Initial_Jobless_Claims
22,ev_evt_EUR_Consumer_Price_Index_YoY,ev_evt_EUR_Consumer_Price_Index_MoM
22,ev_evt_USD_3_Month_Bill_Auction,ev_evt_USD_6_Month_Bill_Auction
22,ev_evt_USD_API_Weekly_Crude_Oil_Stock,ev_evt_USD_Baker_Hughes_US_Oil_Rig_Count
